,stop_suburb,stop_latitude,stop_longitude,stop_id,stop_name,postcode
0,brunswick east,-37.7697868,144.971954,2227,Albert St/Lygon St #123,3057
1,brunswick east,-37.76189,144.97406,2240,Albion St/Holmes St #127,3057
2,brunswick east,-37.76237,144.973267,2231,Albion St/Lygon St #127,3057
3,southbank,-37.8218422,144.969513,2203,Arts Precinct/St Kilda Rd #14,3006
4,southbank,-37.8238144,144.967255,2266,Arts Precinct/Sturt St #17,3006
5,albert park,-37.847126,144.94873,2285,Beaconsfield Pde/Victoria Ave #32,3206
6,coburg,-37.74286,144.978134,2044,Bell St/Nicholson St #135,3058
7,brunswick east,-37.7666626,144.9725,2229,Blyth St/Lygon St #125,3057
8,melbourne,-37.8132,144.965591,2206,Bourke Street Mall/Swanston St #10,3000
9,albert park,-37.84042,144.955719,2278,Bridport St/Montague St #28,3206
10,albert park,-37.8415642,144.953339,2280,Bridport St/Victoria Ave #29,3206
11,brunswick,-37.7784538,144.970627,2224,Brunswick Rd/Lygon St #120,3056
12,south melbourne,-37.83595,144.958908,2274,Cecil St/Park St #25,3205
13,melbourne,-37.8163757,144.967026,2205,City Square/Swanston St #11,3006
14,south melbourne,-37.8352051,144.9613,2273,Clarendon St/Park St #24,3205
15,coburg,-37.74942,144.976837,2262,Crozier St/Nicholson St #132,3058
16,south melbourne,-37.8322258,144.964966,2271,Dorcas St/Eastern Rd #22,3205
17,melbourne,-37.8184738,144.967987,2204,Federation Square/Swanston St #13,3006
18,carlton north,-37.78737,144.969177,2220,Fenwick St/Lygon St #116,3054
19,south melbourne,-37.83663,144.9564,2275,Ferrars St/Park St #26,3205
20,brunswick east,-37.77274,144.97142,2226,Glenlyon Rd/Lygon St #122,3057
21,albert park,-37.84567,144.949829,2283,Graham St/Victoria Ave #31,3206
22,southbank,-37.82578,144.966629,2268,Grant St/Sturt St #18,3006
23,coburg,-37.74637,144.97731,2261,Harding St/Nicholson St #133,3058
24,southbank,-37.8300934,144.965332,2270,Kings Way/Sturt St #20,3006
25,carlton,-37.80237,144.9637,2212,Lincoln Square/Swanston St #3,3053
26,carlton,-37.7971077,144.967163,2216,Lygon St/Elgin St #112,3053
27,carlton,-37.7941322,144.968018,2217,Lytton St/Lygon St #113,3053
28,carlton north,-37.7895775,144.9688,2219,Melbourne Cemetery/Lygon St #115,3054
29,melbourne,-37.8103867,144.964279,2208,Melbourne Central Station/Swanston St #8,3053
30,carlton,-37.799305,144.964188,2214,Melbourne University/Swanston St #1,3053
31,coburg,-37.74436,144.977737,2260,Merribell Ave/Nicholson St #134,3058
32,southbank,-37.82843,144.965759,2269,Miles St/Sturt St #19,3006
33,brunswick east,-37.759388,144.974335,2232,Mitchell St/Holmes St #128,3057
34,albert park,-37.84068,144.955383,2279,Montague St/Bridport St #28,3206
35,south melbourne,-37.83733,144.954453,2276,Montague St/Park St #27,3205
36,south melbourne,-37.83447,144.963852,2272,Moray St/Park St #23,3205
37,brunswick,-37.7568779,144.974762,2233,Moreland Rd/Holmes St #129,3056
38,coburg,-37.75654,144.974976,2265,Moreland Rd/Nicholson St #129,3058
39,south melbourne,-37.83752,144.954178,2277,Park St/Montague St #27,3205
40,carlton north,-37.7819252,144.970078,2222,Pigdon St/Lygon St #118,3054
41,carlton north,-37.7926865,144.968277,2218,Princes St/Lygon St #114,3054
42,carlton,-37.80569,144.9631,2211,Queensberry St/Swanston St #4,3053
43,coburg,-37.75134,144.976517,2263,Rennie St/Nicholson St #131,3058
44,carlton north,-37.7840347,144.969727,2221,Richardson St/Lygon St #117,3054
45,albert park,-37.84394,144.951279,2282,Richardson St/Victoria Ave #30,3206
46,melbourne,-37.80814,144.963287,2209,RMIT University/Swanston St #7,3053
47,brunswick east,-37.7644272,144.9729,2230,Stewart St/Lygon St #126,3057
48,coburg,-37.75357,144.975937,2264,The Avenue/Nicholson St #130,3058
49,brunswick east,-37.7682037,144.972229,2228,Victoria St/Lygon St #124,3057
50,brunswick east,-37.77567,144.970978,2225,Weston St/Lygon St #121,3057
51,southbank,-37.82329,144.956055,2500,124A-Casino/MCEC/Clarendon St,3006
52,south melbourne,-37.82745,144.953979,2505,125A-Southbank Tram Depot/Light Rail,3205
53,east melbourne,-37.80939,144.975739,2485,Albert St/Gisborne St #11,3002
54,balwyn,-37.81224,145.075928,2425,Balwyn Cinema/Whitehorse Rd #46,3103
55,balwyn,-37.8129158,145.081528,2424,Balwyn Rd/Whitehorse Rd #47,3103
56,balwyn,-37.8131981,145.083786,2422,Balwyn Shopping Centre/Whitehorse Rd #48,3103
57,kew,-37.8129654,145.023773,2450,Barkers Rd/High St #29,3101
58,melbourne,-37.82155,144.955261,2499,Batman Park/Spencer St #124,3000
59,port melbourne,-37.84079,144.932816,2510,Beacon Cove/Light Rail #129,3207
60,kew,-37.8081245,145.042313,2439,Belmont Ave/Cotham Rd #37,3101
61,box hill,-37.81788,145.122345,2409,Box Hill Central/Whitehorse Rd #58,3128
62,kew,-37.81028,145.060486,2432,Burke Rd/Cotham Rd #42,3101
63,balwyn,-37.81044,145.060852,2431,Burke Rd/Whitehorse Rd #42,3103
64,richmond,-37.81144,145.010391,2461,Burnley St/Victoria St #24,3121
65,kew,-37.807312,145.035309,2441,Charles St/Cotham Rd #35,3101
66,richmond,-37.81065,145.0008,3352,Church St/Victoria St #21,3121
68,southbank,-37.82569,144.95668,2503,Clarendon St/Whiteman St #125,3006
69,balwyn,-37.8113747,145.068665,2427,Deepdene Park/Whitehorse Rd #44,3103
70,balwyn,-37.81092,145.06488,2429,Deepdene Shopping Centre/Whitehorse Rd #43,3103
71,box hill,-37.81691,145.1156,2411,Elgar Rd/Whitehorse Rd #56,3128
72,melbourne,-37.81642,144.963409,2492,Elizabeth St/Collins St #5,3000
73,melbourne,-37.8142166,144.970718,2174,Exhibition St/Collins St #7,3006
74,kew,-37.8127136,145.02063,2454,Findon Cres/Barkers Rd #27,3101
75,hawthorn,-37.8128777,145.020767,2473,Findon St/Barkers Rd #27,3122
76,abbotsford,-37.81111,145.006866,2463,Flockhart St/Victoria St #23,3067
77,kew,-37.80894,145.049271,2241,Florence Ave/Cotham Rd #39,3101
78,kew,-37.80762,145.037918,2440,Glenferrie Rd/Cotham Rd #36,3101
79,port melbourne,-37.83705,144.9372,2509,Graham St/Light Rail #128,3207
80,balwyn,-37.81175,145.0718,2426,Hardwicke St/Whitehorse Rd #45,3103
81,kew,-37.8130264,145.023178,2451,High St/Barkers Rd #29,3101
82,kew,-37.8069878,145.0313,2615,High St/Cotham Rd #34,3101
83,collingwood,-37.8097229,144.990646,2471,Hoddle St/Victoria Pde #18,3066
84,mont albert,-37.8161659,145.109467,2412,Hood St/Whitehorse Rd #55,3127
85,mont albert,-37.8154068,145.103119,2413,Inglisby Rd/Whitehorse Rd #54,3127
86,kew,-37.8075943,145.02858,2444,Kew Junction/High St #32,3101
87,kew,-37.806675,145.031311,2445,Kew Shopping Centre/High St #33,3101
88,kew,-37.80993,145.057678,2433,Kew Traffic School/Cotham Rd #41,3101
89,east melbourne,-37.808548,144.9788,2481,Lansdowne St/Victoria Pde #13,3002
91,abbotsford,-37.8099937,144.995758,2469,Lennox St/Victoria St #20,3067
93,richmond,-37.8113136,145.007614,2462,Leslie St/Victoria St #23,3121
94,kew,-37.8085327,145.045837,2438,Marshall Ave/Cotham Rd #38,3101
95,richmond,-37.8108253,145.004044,2465,McKay St/Victoria St #22,3121
96,melbourne,-37.8156776,144.965958,2491,Melbourne Town Hall/Collins St #6,3000
97,south melbourne,-37.83024,144.948471,2507,Montague St/Light Rail #126,3205
98,balwyn,-37.8144035,145.094788,2419,Narrak Rd/Whitehorse Rd #51,3103
100,box hill,-37.81746,145.119873,2410,Nelson Rd/Whitehorse Rd #57,3128
101,port melbourne,-37.8332062,144.9435,2508,North Port Station/Light Rail #127,3207
102,abbotsford,-37.8096962,144.992966,2470,North Richmond Railway Station/Victoria St #19,3067
104,balwyn,-37.813694,145.087952,2421,Northcote Ave/Whitehorse Rd #49,3103
105,east melbourne,-37.81238,144.974487,2487,Parliament Railway Station/Macarthur St #10,3002
106,southbank,-37.8260765,144.9562,2504,Port Junction/79 Whiteman St #125,3006
107,kew,-37.8068924,145.031647,2442,QPO/Cotham Rd #34,3101
108,richmond,-37.81177,145.013229,2458,River Bvd/Victoria St #25,3121
109,east melbourne,-37.8089256,144.982224,2477,Smith St/Victoria Pde #15,3002
111,melbourne,-37.8188477,144.955063,2496,Spencer St/Collins St #1,3000
112,melbourne,-37.8135567,144.973282,2488,Spring St/Collins St #8,3002
113,kew,-37.80938,145.052917,2435,St George's Hospital/Cotham Rd #40,3101
114,east melbourne,-37.8082771,144.976135,2483,St Vincents Plaza/Victoria Pde #12,3002
116,kew,-37.81023,145.026154,2447,Stevenson St/High St #31,3101
117,kew,-37.80912,145.049744,2437,Thomas St/Cotham Rd #39,3101
118,balwyn,-37.8149452,145.099243,2415,Union Rd/Whitehorse Rd #53,3103
120,east melbourne,-37.80929,144.985733,2540,Wellington St/Victoria Pde #16,3002
122,surrey hills,-37.814106,145.091385,2420,Wharton St/Whitehorse Rd #50,3127
123,melbourne,-37.8176079,144.959427,2494,William St/Collins St #3,3000
124,caulfield north,-37.8659,145.0259,2723,48A-Dandenong Rd/Hawthorn Rd,3161
125,st kilda,-37.86205,144.9734,2887,Acland St/Fitzroy St #135,3182
126,st kilda,-37.8652,144.9735,2889,Alfred Square/The Esplanade #136,3182
127,caulfield north,-37.87034,145.005585,2775,Allan Rd/Balaclava Rd #42,3161
128,caulfield north,-37.86769,145.025757,2725,Arthur St/Hawthorn Rd #49,3161
129,melbourne,-37.8388557,144.976563,2610,Arthur St/St Kilda Rd #23,3004
131,caulfield north,-37.87289,145.0246,2727,Balaclava Rd/Hawthorn Rd #51,3161
132,balaclava,-37.8688049,144.994232,2736,Balaclava Station/Carlisle St #38,3183
133,hawthorn,-37.8148079,145.036728,2928,Barkers Rd/Glenferrie Rd #77,3122
134,st kilda,-37.8670654,144.9811,2739,Barkly St/Carlisle St #33,3182
135,melbourne,-37.8478966,144.979767,2407,Beatrice St/St Kilda Rd #26,3004
136,malvern,-37.8540764,145.029587,2901,Bell St/Glenferrie Rd #58,3144
138,st kilda,-37.8680763,144.987671,2311,Brighton Rd/Carlisle St #35,3182
139,hawthorn,-37.8227119,145.035263,2922,Burwood Rd/Glenferrie Rd #73,3122
140,hawthorn,-37.8334274,145.03331,2916,Callantina Rd/Glenferrie Rd #68,3122
141,st kilda,-37.86018,144.976776,2884,Canterbury Rd/Fitzroy St #133,3182
142,st kilda,-37.8692436,144.996735,2778,Carlisle Ave/Carlisle St #39,3182
143,caulfield north,-37.872303,145.021179,2309,Caulfield Junior College/Balaclava Rd #47,3161
144,st kilda,-37.86845,144.9905,2974,Chapel St/Carlisle St #37,3182
146,hawthorn,-37.81888,145.035965,2925,Chrystobel Cres/Glenferrie Rd #75,3122
148,melbourne,-37.8440132,144.978348,2606,Commercial Rd/St Kilda Rd #25,3004
150,kew,-37.80792,145.038116,2931,Cotham Rd/Glenferrie Rd #80,3101
151,malvern,-37.8660545,145.027817,2891,Dandenong Rd/Glenferrie Rd #48,3144
152,malvern,-37.8660545,145.027817,2892,Dandenong Rd/Glenferrie Rd #52,3144
153,malvern,-37.86104,145.028671,2896,Edsall St/Glenferrie Rd #55,3144
154,caulfield north,-37.8721428,145.0211,2247,Elmhurst Rd/Balaclava Rd #47,3161
155,st kilda east,-37.8697,145.001572,2733,Empress Rd/Balaclava Rd #41,3183
157,hawthorn,-37.8121147,145.037216,2929,Fitzwilliam St/Glenferrie Rd #78,3122
158,hawthorn,-37.835556,145.032944,2915,Gardiner Rd/Glenferrie Rd #67,3122
159,hawthorn,-37.8205338,145.035675,2923,Glenferrie Railway Station/Glenferrie Rd #74,3122
160,hawthorn,-37.8205338,145.035675,2924,Glenferrie Station/Glenferrie Rd #74,3122
161,southbank,-37.8241653,144.970474,2200,Grant St-Police Memorial/St Kilda Rd #17,3006
162,st kilda,-37.8674774,144.984009,2740,Greeves St/Carlisle St #34,3182
163,st kilda,-37.86704,144.978577,2741,Havelock St/Carlisle St #32,3182
164,caulfield north,-37.87279,145.024948,2308,Hawthorn Rd/Balaclava Rd #51,3161
165,malvern,-37.8658371,145.026443,2998,Hawthorn Rd/Dandenong Rd #48,3144
166,malvern,-37.8568268,145.029175,2900,High St/Glenferrie Rd #57,3144
167,south melbourne,-37.84987,144.98056,2406,High St/St Kilda Rd #27,3205
168,st kilda east,-37.86961,144.999634,2777,Hotham St/Balaclava Rd #40,3183
169,balaclava,-37.86943,144.9993,2734,Hotham St/Carlisle St #40,3183
170,caulfield north,-37.8696976,145.025192,2726,Inkerman Rd/Hawthorn Rd #50,3161
171,st kilda,-37.86241,144.973,2888,Jacka Bvd/Fitzroy St #135,3182
172,hawthorn,-37.8168526,145.036316,2927,Johnson St/Glenferrie Rd #76,3122
173,caulfield north,-37.87156,145.0151,2773,Kent Gr/Balaclava Rd #45,3161
174,kooyong,-37.8393364,145.03244,2911,Kooyong Railway Station/Glenferrie Rd #65,3144
175,caulfield north,-37.871727,145.017624,2728,Kooyong Rd/Balaclava Rd #46,3161
176,toorak,-37.8384933,145.032349,2914,Kooyong Tennis Centre/Glenferrie Rd #66,3142
177,south melbourne,-37.841156,144.9774,2609,Leopold St/St Kilda Rd #24,3205
179,hawthorn,-37.8186073,145.036224,2926,Liddiard St/Glenferrie Rd #75,3122
181,malvern,-37.86115,145.028458,2897,Llaneast St/Glenferrie Rd #55,3144
182,melbourne,-37.8499146,144.980545,2405,Lorne St/St Kilda Rd #27,3004
183,caulfield north,-37.871340000000004,145.01474,2729,Lumeah Rd/Balaclava Rd #45,3161
184,st kilda,-37.86698,144.976837,2968,Luna Park/The Esplanade #138,3182
185,malvern,-37.86527,145.027771,2893,Malvern Railway Station/Glenferrie Rd #53,3144
186,malvern,-37.8518333,145.029938,2903,Malvern Rd/Glenferrie Rd #59,3144
187,malvern,-37.859005,145.028824,2446,Malvern Tram Depot/Glenferrie Rd #56,3144
188,hawthorn,-37.8241539,145.034973,2920,Manningtree Rd/Glenferrie Rd #72,3122
189,malvern,-37.8457375,145.0311,2907,Mayfield Ave/Glenferrie Rd #62,3144
192,kooyong,-37.8424721,145.031662,2910,Mernda Rd/Glenferrie Rd #64,3144
193,st kilda,-37.86759,144.983963,2738,Mitchell St/Carlisle St #34,3182
194,malvern,-37.8477058,145.030731,2906,Moorakyne Ave/Glenferrie Rd #61,3144
